web-scraper-order,web-scraper-start-url,Title,Abstract
1641462622-157,https://www.schneier.com/page/47/,Cryptocurrency Pump and Dump Scams,"Abstract: The surge of interest in cryptocurrencies has been accompanied by a proliferation of fraud. This paper examines pump and dump schemes. The recent explosion of nearly 2,000 cryptocurrencies in an unregulated environment has expanded the scope for abuse. We quantify the scope of cryptocurrency pump and dump schemes on Discord and Telegram, two popular group-messaging platforms. We joined all relevant Telegram and Discord groups/channels and identified thousands of different pumps. Our findings provide the first measure of the scope of such pumps and empirically document important properties of this ecosystem."
1641462606-91,https://www.schneier.com/page/53/,Friday Squid Blogging: Humboldt Squid Backlight Themselves to Communicate More Clearly,"Deep in the Pacific Ocean, six-foot-long Humboldt squid are known for being aggressive, cannibalistic and, according to new research, good communicators."
1641462678-353,https://www.schneier.com/page/27/,Attack against Florida Water Treatment Facility,"The Florida water treatment facility whose computer system experienced a potentially hazardous computer breach last week used an unsupported version of Windows with no firewall and shared the same TeamViewer password among its employees, government officials have reported."
1641462595-56,https://www.schneier.com/page/57/,Let's Encrypt Vulnerability,"In a notification email to its clients, the organisation said: “We recently discovered a bug in the Let’s Encrypt certificate authority code."
1641462642-226,https://www.schneier.com/page/40/,Upcoming Speaking Engagements,null
1641462741-580,https://www.schneier.com/page/5/,Problems with Multifactor Authentication,"The first time I heard of this issue was from a Midwest CEO. His organization had been hit by ransomware to the tune of $10M. Operationally, they were still recovering nearly a year later. And, embarrassingly, it was his most trusted VP who let the attackers in. It turns out that the VP had approved over 10 different push-based messages for logins that he was not involved in. When the VP was asked why he approved logins for logins he was not actually doing, his response was, “They (IT) told me that I needed to click on Approve when the message appeared!”"
1641462749-610,https://www.schneier.com/page/2/,Smart Contract Bug Results in $31 Million Loss,"Specifically, the hack used the same token as both the tokenIn and tokenOut, which are methods for exchanging the value of one token for another. MonoX updates prices after each swap by calculating new prices for both tokens. When the swap is completed, the price of tokenIn­that is, the token sent by the user­decreases and the price of tokenOut­or the token received by the user­increases."
1641462658-289,https://www.schneier.com/page/34/,Friday Squid Blogging: Ram’s Horn Squid Video,null
1641462658-288,https://www.schneier.com/page/34/,Indistinguishability Obfuscation,null
1641462653-270,https://www.schneier.com/page/36/,Reverse-Engineering the Redactions in the Ghislaine Maxwell Deposition,null
1641462620-142,https://www.schneier.com/page/48/,New Hacking-for-Hire Company in India,Key Findings:
1641462702-434,https://www.schneier.com/page/19/,Newly Declassified NSA Document on Cryptography in the 1970s,null
1641462590-34,https://www.schneier.com/page/59/,DNSSEC Keysigning Ceremony Postponed Because of Locked Safe,"The ceremony sees several trusted internet engineers (a minimum of three and up to seven) from across the world descend on one of two secure locations — one in El Segundo, California, just south of Los Angeles, and the other in Culpeper, Virginia — both in America, every three months."
1641462673-338,https://www.schneier.com/page/29/,Finding the Location of Telegram Users,"Using readily available software and a rooted Android device, he’s able to spoof the location his device reports to Telegram servers. By using just three different locations and measuring the corresponding distance reported by People Nearby, he is able to pinpoint a user’s precise location."
1641462650-251,https://www.schneier.com/page/37/,IMSI-Catchers from Canada,"L3Harris Technologies, formerly known as the Harris Corporation, notified police agencies last year that it planned to discontinue sales of its surveillance boxes at the local level, according to government records. Additionally, the company would no longer offer access to software upgrades or replacement parts, effectively slapping an expiration date on boxes currently in use. Any advancements in cellular technology, such as the rollout of 5G networks in most major U.S. cities, would render them obsolete."
1641462601-73,https://www.schneier.com/page/55/,Dark Web Hosting Provider Hacked,null
1641462584-16,https://www.schneier.com/page/61/,Apple Abandoned Plans for Encrypted iCloud Backup after FBI Complained,"More than two years ago, Apple told the FBI that it planned to offer users end-to-end encryption when storing their phone data on iCloud, according to one current and three former FBI officials and one current and one former Apple employee."
1641462702-438,https://www.schneier.com/page/19/,New Spectre-Like Attacks,"The new line of attacks exploits the micro-op cache: an on-chip structure that speeds up computing by storing simple commands and allowing the processor to fetch them quickly and early in the speculative execution process, as the team explains in a writeup from the University of Virginia. Even though the processor quickly realizes its mistake and does a U-turn to go down the right path, attackers can get at the private data while the processor is still heading in the wrong direction."
1641462628-172,https://www.schneier.com/page/45/,Fawkes: Digital Image Cloaking,"At a high level, Fawkes takes your personal images, and makes tiny, pixel-level changes to them that are invisible to the human eye, in a process we call image cloaking. You can then use these “cloaked” photos as you normally would, sharing them on social media, sending them to friends, printing them or displaying them on digital devices, the same way you would any other photo. The difference, however, is that if and when someone tries to use these photos to build a facial recognition model, “cloaked” images will teach the model an highly distorted version of what makes you look like you. The cloak effect is not easily detectable, and will not cause errors in model training. However, when someone tries to identify you using an unaltered image of you (e.g. a photo taken in public), and tries to identify you, they will fail."
1641462581-3,https://www.schneier.com/page/62/,Critical Windows Vulnerability Discovered by NSA,A spoofing vulnerability exists in the way Windows CryptoAPI (Crypt32.dll) validates Elliptic Curve Cryptography (ECC) certificates.
1641462653-262,https://www.schneier.com/page/36/,Detecting Phishing Emails,"Abstract: Phishing scam emails are emails that pretend to be something they are not in order to get the recipient of the email to undertake some action they normally would not. While technical protections against phishing reduce the number of phishing emails received, they are not perfect and phishing remains one of the largest sources of security risk in technology and communication systems. To better understand the cognitive process that end users can use to identify phishing messages, I interviewed 21 IT experts about instances where they successfully identified emails as phishing in their own inboxes. IT experts naturally follow a three-stage process for identifying phishing emails. In the first stage, the email recipient tries to make sense of the email, and understand how it relates to other things in their life. As they do this, they notice discrepancies: little things that are “off” about the email. As the recipient notices more discrepancies, they feel a need for an alternative explanation for the email. At some point, some feature of the email — usually, the presence of a link requesting an action — triggers them to recognize that phishing is a possible alternative explanation. At this point, they become suspicious (stage two) and investigate the email by looking for technical details that can conclusively identify the email as phishing. Once they find such information, then they move to stage three and deal with the email by deleting it or reporting it. I discuss ways this process can fail, and implications for improving training of end users about phishing."
1641462724-517,https://www.schneier.com/page/11/,Apple Adds a Backdoor to iMessage and iCloud Storage,"There are two main features that the company is planning to install in every Apple device. One is a scanning feature that will scan all photos as they get uploaded into iCloud Photos to see if they match a photo in the database of known child sexual abuse material (CSAM) maintained by the National Center for Missing & Exploited Children (NCMEC). The other feature scans all iMessage images sent or received by child accounts — that is, accounts designated as owned by a minor — for sexually explicit material, and if the child is young enough, notifies the parent when these images are sent or received. This feature can be turned on or off by parents."
1641462622-154,https://www.schneier.com/page/47/,The Unintended Harms of Cybersecurity,"Abstract: Well-meaning cybersecurity risk owners will deploy countermeasures (technologies or procedures) to manage risks to their services or systems. In some cases, those countermeasures will produce unintended consequences, which must then be addressed. Unintended consequences can potentially induce harm, adversely affecting user behaviour, user inclusion, or the infrastructure itself (including other services or countermeasures). Here we propose a framework for preemptively identifying unintended harms of risk countermeasures in cybersecurity.The framework identifies a series of unintended harms which go beyond technology alone, to consider the cyberphysical and sociotechnical space: displacement, insecure norms, additional costs, misuse, misclassification, amplification, and disruption. We demonstrate our framework through application to the complex,multi-stakeholder challenges associated with the prevention of cyberbullying as an applied example. Our framework aims to illuminate harmful consequences, not to paralyze decision-making, but so that potential unintended harms can be more thoroughly considered in risk management strategies. The framework can support identification and preemptive planning to identify vulnerable populations and preemptively insulate them from harm. There are opportunities to use the framework in coordinating risk management strategy across stakeholders in complex cyberphysical environments."
1641462656-273,https://www.schneier.com/page/35/,On Blockchain Voting,Why is blockchain voting a dumb idea? Glad you asked.
1641462681-361,https://www.schneier.com/page/26/,Friday Squid Blogging: Amazing Video of a Black-Eyed Squid Trying to Eat an Owlfish,null
1641462617-132,https://www.schneier.com/page/49/,Security Analysis of the Democracy Live Online Voting System,"Abstract: Democracy Live’s OmniBallot platform is a web-based system for blank ballot delivery, ballot marking, and (optionally) online voting. Three states — Delaware, West Virginia, and New Jersey — recently announced that they will allow certain voters to cast votes online using OmniBallot, but, despite the well established risks of Internet voting, the system has never been the subject of a public, independent security review."
1641462744-588,https://www.schneier.com/page/4/,Drones Carrying Explosives,null
1641462650-255,https://www.schneier.com/page/37/,Cybersecurity Visuals,null
1641462587-27,https://www.schneier.com/page/60/,NSA Security Awareness Posters,null
1641462636-208,https://www.schneier.com/page/42/,Copying a Key by Listening to It in Action,"Once they have a key-insertion audio file, SpiKey’s inference software gets to work filtering the signal to reveal the strong, metallic clicks as key ridges hit the lock’s pins [and you can hear those filtered clicks online here]. These clicks are vital to the inference analysis: the time between them allows the SpiKey software to compute the key’s inter-ridge distances and what locksmiths call the “bitting depth” of those ridges: basically, how deeply they cut into the key shaft, or where they plateau out. If a key is inserted at a nonconstant speed, the analysis can be ruined, but the software can compensate for small speed variations."
1641462683-371,https://www.schneier.com/page/25/,Chinese Hackers Stole an NSA Windows Exploit in 2014,"The timeline basically seems to be, according to Check Point:"
1641462606-95,https://www.schneier.com/page/53/,Another Story of Bad 1970s Encryption,"The Dutch intelligence service has been able to read encrypted communications from dozens of countries since the late 1970s thanks to a microchip, according to research by de Volkskrant on Thursday. The Netherlands could eavesdrop on confidential communication from countries such as Iran, Egypt and Saudi Arabia."
1641462683-378,https://www.schneier.com/page/25/,Twelve-Year-Old Vulnerability Found in Windows Defender,"The flaw, discovered by researchers at the security firm SentinelOne, showed up in a driver that Windows Defender — renamed Microsoft Defender last year — uses to delete the invasive files and infrastructure that malware can create. When the driver removes a malicious file, it replaces it with a new, benign one as a sort of placeholder during remediation. But the researchers discovered that the system doesn’t specifically verify that new file. As a result, an attacker could insert strategic system links that direct the driver to overwrite the wrong file or even run malicious code."
1641462705-449,https://www.schneier.com/page/18/,Ransomware Is Getting Ugly,null
1641462628-174,https://www.schneier.com/page/45/,On the Twitter Hack,null
1641462716-485,https://www.schneier.com/page/14/,Vulnerability in the Kaspersky Password Manager,"The password generator included in Kaspersky Password Manager had several problems. The most critical one is that it used a PRNG not suited for cryptographic purposes. Its single source of entropy was the current time. All the passwords it created could be bruteforced in seconds. This article explains how to securely generate passwords, why Kaspersky Password Manager failed, and how to exploit this flaw. It also provides a proof of concept to test if your version is vulnerable."
1641462636-204,https://www.schneier.com/page/42/,Identifying People by Their Browsing Histories,"We examine the threat to individuals’ privacy based on the feasibility of reidentifying users through distinctive profiles of their browsing history visible to websites and third parties. This work replicates and extends the 2012 paper Why Johnny Can’t Browse in Peace: On the Uniqueness of Web Browsing History Patterns[48]. The original work demonstrated that browsing profiles are highly distinctive and stable. We reproduce those results and extend the original work to detail the privacy risk posed by the aggregation of browsing histories. Our dataset consists of two weeks of browsing data from ~52,000 Firefox users. Our work replicates the original paper’s core findings by identifying 48,919 distinct browsing profiles, of which 99% are unique. High uniqueness hold seven when histories are truncated to just 100 top sites. We then find that for users who visited 50 or more distinct domains in the two-week data collection period, ~50% can be reidentified using the top 10k sites. Reidentifiability rose to over 80% for users that browsed 150 or more distinct domains. Finally, we observe numerous third parties pervasive enough to gather web histories sufficient to leverage browsing history as an identifier."
1641462710-464,https://www.schneier.com/page/16/,Upcoming Speaking Engagements,null
1641462633-195,https://www.schneier.com/page/43/,UAE Hack and Leak Operations,"Abstract: Four hack-and-leak operations in U.S. politics between 2016 and 2019, publicly attributed to the United Arab Emirates (UAE), Qatar, and Saudi Arabia, should be seen as the “simulation of scandal” ­– deliberate attempts to direct moral judgement against their target. Although “hacking” tools enable easy access to secret information, they are a double-edged sword, as their discovery means the scandal becomes about the hack itself, not about the hacked information. There are wider consequences for cyber competition in situations of constraint where both sides are strategic partners, as in the case of the United States and its allies in the Persian Gulf."
1641462662-296,https://www.schneier.com/page/33/,Friday Squid Blogging: Bigfin Squid Found in Australian Waters,null
1641462716-488,https://www.schneier.com/page/14/,More Russian Hacking,"As part of our investigation into this ongoing activity, we also detected information-stealing malware on a machine belonging to one of our customer support agents with access to basic account information for a small number of our customers. The actor used this information in some cases to launch highly-targeted attacks as part of their broader campaign."
1641462617-133,https://www.schneier.com/page/49/,Gene Spafford on Internet Voting,null
1641462713-474,https://www.schneier.com/page/15/,Banning Surveillance-Based Advertising,"The challenges caused and entrenched by surveillance-based advertising include, but are not limited to:"
1641462664-302,https://www.schneier.com/page/32/,More on the SolarWinds Breach,"About 18,000 private and government users downloaded a Russian tainted software update –­ a Trojan horse of sorts ­– that gave its hackers a foothold into victims’ systems, according to SolarWinds, the company whose software was compromised."
1641462721-502,https://www.schneier.com/page/12/,Paragon: Yet Another Cyberweapons Arms Manufacturer,"Paragon’s product will also likely get spyware critics and surveillance experts alike rubbernecking: It claims to give police the power to remotely break into encrypted instant messaging communications, whether that’s WhatsApp, Signal, Facebook Messenger or Gmail, the industry sources said. One other spyware industry executive said it also promises to get longer-lasting access to a device, even when it’s rebooted."
1641462628-180,https://www.schneier.com/page/45/,Friday Squid Blogging: China Closing Its Squid Spawning Grounds,"This is the first time China has voluntarily imposed a closed season on the high seas. Some experts regard it as an important step forward in China’s management of distant-water fishing (DWF), and crucial for protecting the squid fishing industry. But others say the impact will be limited and that stronger oversight of fishing vessels is needed, or even a new fisheries management body specifically for squid."
1641462620-145,https://www.schneier.com/page/48/,"Bank Card ""Master Key"" Stolen","The breach resulted from the printing of the bank’s encrypted master key in plain, unencrypted digital language at the Postbank’s old data centre in the Pretoria city centre."
1641462590-31,https://www.schneier.com/page/59/,Voatz Internet Voting App Is Insecure,"Abstract: In the 2018 midterm elections, West Virginia became the first state in the U.S. to allow select voters to cast their ballot on a mobile phone via a proprietary app called “Voatz.” Although there is no public formal description of Voatz’s security model, the company claims that election security and integrity are maintained through the use of a permissioned blockchain, biometrics, a mixnet, and hardware-backed key storage modules on the user’s device. In this work, we present the first public security analysis of Voatz, based on a reverse engineering of their Android application and the minimal available documentation of the system. We performed a clean-room reimplementation of Voatz’s server and present an analysis of the election process as visible from the app itself."
1641462744-590,https://www.schneier.com/page/4/,US Blacklists NSO Group,null
1641462732-550,https://www.schneier.com/page/8/,Upcoming Speaking Engagements,null
1641462598-68,https://www.schneier.com/page/56/,The EARN-IT Act,"The EARN IT Act would create a “National Commission on Online Child Sexual Exploitation Prevention” tasked with developing “best practices” for owners of Internet platforms to “prevent, reduce, and respond” to child exploitation. But far from mere recommendations, those “best practices” would be approved by Congress as legal requirements: if a platform failed to adhere to them, it would lose essential legal protections for free speech."
1641462675-348,https://www.schneier.com/page/28/,Massive Brazilian Data Breach,null
1641462689-392,https://www.schneier.com/page/23/,Accellion Supply Chain Hack,"The governor of New Zealand’s central bank, Adrian Orr, says Accellion failed to warn it after first learning in mid-December that the nearly 20-year-old FTA application — using antiquated technology and set for retirement — had been breached."
1641462622-158,https://www.schneier.com/page/47/,Nation-State Espionage Campaigns against Middle East Defense Contractors,"As part of the initial compromise phase, the Operation In(ter)ception attackers had created fake LinkedIn accounts posing as HR representatives of well-known companies in the aerospace and defense industries. In our investigation, we’ve seen profiles impersonating Collins Aerospace (formerly Rockwell Collins) and General Dynamics, both major US corporations in the field."
1641462650-252,https://www.schneier.com/page/37/,Friday Squid Blogging: Squid-like Nebula,null
1641462686-383,https://www.schneier.com/page/24/,Fast Random Bit Generation,null
1641462746-595,https://www.schneier.com/page/3/,"“Crypto” Means “Cryptography,” Not “Cryptocurrency”",null
1641462749-605,https://www.schneier.com/page/2/,New German Government is Pro-Encryption and Anti-Backdoors,"According to Jens Zimmermann, the German coalition negotiations had made it “quite clear” that the incoming government of the Social Democrats (SPD), the Greens and the business-friendly liberal FDP would reject “the weakening of encryption, which is being attempted under the guise of the fight against child abuse” by the coalition partners."
1641462730-539,https://www.schneier.com/page/9/,Hacker-Themed Board Game,null
1641462620-146,https://www.schneier.com/page/48/,Eavesdropping on Sound Using Variations in Light Bulbs,"In an experiment using three different telescopes with different lens diameters from a distance of 25 meters (a little over 82 feet) the researchers were successfully able to capture sound being played in a remote room, including The Beatles’ Let It Be, which was distinguishable enough for Shazam to recognize it, and a speech from President Trump that Google’s speech recognition API could successfully transcribe. With more powerful telescopes and a more sensitive analog-to-digital converter, the researchers believe the eavesdropping distances could be even greater."
1641462744-583,https://www.schneier.com/page/4/,Upcoming Speaking Engagements,null
1641462592-44,https://www.schneier.com/page/58/,Firefox Enables DNS over HTTPS,"Whenever you visit a website — even if it’s HTTPS enabled — the DNS query that converts the web address into an IP address that computers can read is usually unencrypted. DNS-over-HTTPS, or DoH, encrypts the request so that it can’t be intercepted or hijacked in order to send a user to a malicious site."
1641462705-446,https://www.schneier.com/page/18/,Is 85% of US Critical Infrastructure in Private Hands?,null
1641462639-219,https://www.schneier.com/page/41/,"Seny Kamara on ""Crypto for the People""",null
1641462738-568,https://www.schneier.com/page/6/,Recovering Real Faces from Face-Generation ML System,"Abstract: Recently, generative adversarial networks (GANs) have achieved stunning realism, fooling even human observers. Indeed, the popular tongue-in-cheek website http://thispersondoesnotexist.com, taunts users with GAN generated images that seem too real to believe. On the other hand, GANs do leak information about their training data, as evidenced by membership attacks recently demonstrated in the literature. In this work, we challenge the assumption that GAN faces really are novel creations, by constructing a successful membership attack of a new kind. Unlike previous works, our attack can accurately discern samples sharing the same identity as training samples without being the same samples. We demonstrate the interest of our attack across several popular face datasets and GAN training procedures. Notably, we show that even in the presence of significant dataset diversity, an over represented person can pose a privacy concern."
1641462625-170,https://www.schneier.com/page/46/,Securing the International IoT Supply Chain,"…we propose to leverage these supply chains as part of the solution. Selling to U.S. consumers generally requires that IoT manufacturers sell through a U.S. subsidiary or, more commonly, a domestic distributor like Best Buy or Amazon. The Federal Trade Commission can apply regulatory pressure to this distributor to sell only products that meet the requirements of a security framework developed by U.S. cybersecurity agencies. That would put pressure on manufacturers to make sure their products are compliant with the standards set out in this security framework, including pressuring their component vendors and original device manufacturers to make sure they supply parts that meet the recognized security framework."
1641462662-299,https://www.schneier.com/page/33/,Open Source Does Not Equal Secure,"First, simply publishing the code does not automatically mean that people will examine it for security flaws. Security researchers are fickle and busy people. They do not have the time to examine every piece of source code that is published. So while opening up source code is a good thing, it is not a guarantee of security. I could name a dozen open source security libraries that no one has ever heard of, and no one has ever evaluated. On the other hand, the security code in Linux has been looked at by a lot of very good security engineers."
1641462696-413,https://www.schneier.com/page/21/,Cybersecurity Experts to Follow on Twitter,null
1641462675-341,https://www.schneier.com/page/28/,More SolarWinds News,"Microsoft and FireEye only detected the Sunburst or Solorigate malware in December, but Crowdstrike reported this month that another related piece of malware, Sunspot, was deployed in September 2019, at the time hackers breached SolarWinds’ internal network. Other related malware includes Teardrop aka Raindrop."
1641462724-520,https://www.schneier.com/page/11/,Using “Master Faces” to Bypass Face-Recognition Authenticating Systems,"Abstract: A master face is a face image that passes face-based identity-authentication for a large portion of the population. These faces can be used to impersonate, with a high probability of success, any user, without having access to any user-information. We optimize these faces, by using an evolutionary algorithm in the latent embedding space of the StyleGAN face generator. Multiple evolutionary strategies are compared, and we propose a novel approach that employs a neural network in order to direct the search in the direction of promising samples, without adding fitness evaluations. The results we present demonstrate that it is possible to obtain a high coverage of the population (over 40%) with less than 10 master faces, for three leading deep face recognition systems."
1641462656-278,https://www.schneier.com/page/35/,“Privacy Nutrition Labels” in Apple’s App Store,"Apple allows data disclosure to be optional if all of the following conditions apply: if it’s not used for tracking, advertising or marketing; if it’s not shared with a data broker; if collection is infrequent, unrelated to the app’s primary function, and optional; and if the user chooses to provide the data in conjunction with clear disclosure, the user’s name or account name is prominently displayed with the submission."
1641462581-7,https://www.schneier.com/page/62/,Friday Squid Blogging: Stuffed Squid with Vegetables and Pancetta,null
1641462606-98,https://www.schneier.com/page/53/,The DoD Isn't Fixing Its Security Problems,"GAO looked at three DoD-designed initiatives to see whether the Pentagon is following through on its own goals. In a majority of cases, DoD has not completed the cybersecurity training and awareness tasks it set out to. The status of various efforts is simply unknown because no one has tracked their progress. While an assessment of “cybersecurity hygiene” like this doesn’t directly analyze a network’s hardware and software vulnerabilities, it does underscore the need for people who use digital systems to interact with them in secure ways. Especially when those people work on national defense."
1641462735-557,https://www.schneier.com/page/7/,A Death Due to Ransomware,"Amid the hack, fewer eyes were on the heart monitors — normally tracked on a large screen at the nurses’ station, in addition to inside the delivery room. Attending obstetrician Katelyn Parnell texted the nurse manager that she would have delivered the baby by caesarean section had she seen the monitor readout. “I need u to help me understand why I was not notified.” In another text, Dr. Parnell wrote: “This was preventable.”"
1641462584-19,https://www.schneier.com/page/61/,SIM Hijacking,"We examined the authentication procedures used by five pre-paid wireless carriers when a customer attempted to change their SIM card. These procedures are an important line of defense against attackers who seek to hijack victims’ phone numbers by posing as the victim and calling the carrier to request that service be transferred to a SIM card the attacker possesses. We found that all five carriers used insecure authentication challenges that could be easily subverted by attackers.We also found that attackers generally only needed to target the most vulnerable authentication challenges, because the rest could be bypassed."
1641462622-153,https://www.schneier.com/page/47/,Friday Squid Blogging: Fishing for Jumbo Squid,null
1641462642-230,https://www.schneier.com/page/40/,The Third Edition of Ross Anderson’s Security Engineering,null
1641462667-320,https://www.schneier.com/page/31/,NSA on Authentication Hacks (Related to SolarWinds Breach),"Malicious cyberactors are abusing trust in federated authentication environments to access protected data. The exploitation occurs after the actors have gained initial access to a victim’s on-premises network. The actors leverage privileged access in the on-premises environment to subvert the mechanisms that the organization uses to grant access to cloud and on-premises resources and/or to compromise administrator credentials with the ability to manage cloud resources. The actors demonstrate two sets of tactics, techniques,and procedures (TTP) for gaining access to the victim network’s cloud resources, often with a particular focus on organizational email."
1641462705-443,https://www.schneier.com/page/18/,Bizarro Banking Trojan,"…the program can be delivered in a couple of ways­ — either via malicious links contained within spam emails, or through a trojanized app. Using these sneaky methods, trojan operators will implant the malware onto a target device, where it will install a sophisticated backdoor that “contains more than 100 commands and allows the attackers to steal online banking account credentials,” the researchers write."
1641462636-210,https://www.schneier.com/page/42/,Vaccine for Emotet Malware,"Through trial and error and thanks to subsequent Emotet updates that refined how the new persistence mechanism worked, Quinn was able to put together a tiny PowerShell script that exploited the registry key mechanism to crash Emotet itself."
1641462724-519,https://www.schneier.com/page/11/,Friday Squid Blogging: Squid Dog Toy,null
1641462612-119,https://www.schneier.com/page/51/,Friday Squid Blogging: Jurassic Squid Attack,"An ancient squid-like creature with 10 arms covered in hooks had just crushed the skull of its prey in a vicious attack when disaster struck, killing both predator and prey, according to a Jurassic period fossil of the duo found on the southern coast of England."
1641462713-475,https://www.schneier.com/page/15/,Mollitiam Industries is the Newest Cyberweapons Arms Manufacturer,"Marketing materials left exposed online by a third-party claim Mollitiam’s interception products, dubbed “Invisible Man” and “Night Crawler,” are capable of remotely accessing a target’s files, location, and covertly turning on a device’s camera and microphone. Its spyware is also said to be equipped with a keylogger, which means every keystroke made on an infected device — including passwords, search queries and messages sent via encrypted messaging apps — can be tracked and monitored."
1641462606-100,https://www.schneier.com/page/53/,Upcoming Speaking Engagements,null
1641462749-603,https://www.schneier.com/page/2/,Law Enforcement Access to Chat Data and Metadata,null
